row	year	venue	type	paper	status	score	source	matched_year	matched_venue	matched_title	url	errors
2	2026	AAAI	RGB-T	CADTrack: Learning Contextual Aggregation with Deformable Alignment for Robust RGBT Tracking	FOUND	1.000	OpenAlex	2026	Proceedings of the AAAI Conference on Artificial Intelligence	CADTrack: Learning Contextual Aggregation with Deformable Alignment for Robust RGBT Tracking	https://doi.org/10.1609/aaai.v40i8.37535	
3	2026	AAAI	Any-modality	Tracking and Segmenting Anything in Any Modality	FOUND	1.000	OpenAlex	2026	Proceedings of the AAAI Conference on Artificial Intelligence	Tracking and Segmenting Anything in Any Modality	https://doi.org/10.1609/aaai.v40i15.38273	
4	2026	AAAI	RGB-T	Group Orthogonal Low-Rank Adaptation for RGB-T Tracking	FOUND	1.000	OpenAlex	2026	Proceedings of the AAAI Conference on Artificial Intelligence	Group Orthogonal Low-Rank Adaptation for RGB-T Tracking	https://doi.org/10.1609/aaai.v40i11.37843	
5	2026	AAAI	RGB-T	Semantic Feature Purification for Adversarially-Aware RGB-T Tracking	FOUND	1.000	DBLP	2026	AAAI	Semantic Feature Purification for Adversarially-Aware RGB-T Tracking	https://dblp.org/rec/conf/aaai/WangLWLWC26	query_openalex:AttributeError
6	2026	AAAI	RGB-T	Unaligned UAV RGBT Tracking: A Large-scale Benchmark and a Novel Approach	FOUND	0.993	Crossref	2026	Proceedings of the AAAI Conference on Artificial Intelligence	Unaligned UAV RGBT Tracking: A Largescale Benchmark and a Novel Approach	https://doi.org/10.1609/aaai.v40i13.38079	
7	2026	CVPR	RGB-T	Progressive Multi-cue Alignment for Unaligned RGBT Tracking	NOT_FOUND	0.675	Crossref	2019	2019 IEEE/CVF International Conference on Computer Vision Workshop (ICCVW)	Multi-Adapter RGBT Tracking	https://doi.org/10.1109/iccvw.2019.00279	
8	2026	CVPR	RGB-T	Spatio-Temporal Conditional Denoising Transformer for Modality-Missing RGBT Tracking	NOT_FOUND	0.646	Crossref	2025		Temporal Multimodal Knowledge Distillation for Modality-Missing RGBT Tracking	https://doi.org/10.2139/ssrn.5953538	
9	2026	CVPR	RGB-T	Dynamic Disentangled Fusion Network for RGBT Tracking (DDFNet)	FOUND	0.938	OpenAlex	2024	arXiv (Cornell University)	Dynamic Disentangled Fusion Network for RGBT Tracking	https://doi.org/10.48550/arxiv.2412.08441	
10	2026	CVPR	Unified	UTPTrack: Towards Simple and Unified Token Pruning for Visual Tracking	FOUND	1.000	OpenAlex	2026	Open MIND	UTPTrack: Towards Simple and Unified Token Pruning for Visual Tracking	https://doi.org/10.48550/arxiv.2602.23734	query_dblp:HTTPError
11	2026	ICML	Unified	Unified Multimodal Visual Tracking with Dual Mixture-of-Experts	NOT_FOUND	0.700	Crossref	2023	Lecture Notes in Computer Science	A Unified Visual Prompt Tuning Framework with Mixture-of-Experts for Multimodal Information Extraction	https://doi.org/10.1007/978-3-031-30675-4_40	query_openalex:AttributeError
12	2025	AAAI	RGB-T	CAFormer: Cross-modulated Attention Transformer for RGBT Tracking	FOUND	0.924	OpenAlex	2025	Proceedings of the AAAI Conference on Artificial Intelligence	Cross-modulated Attention Transformer for RGBT Tracking	https://doi.org/10.1609/aaai.v39i8.32938	
13	2025	AAAI	RGB-T	RGBT Tracking via All-layer Multimodal Interactions with Progressive Fusion Mamba	FOUND	1.000	OpenAlex	2025	Proceedings of the AAAI Conference on Artificial Intelligence	RGBT Tracking via All-layer Multimodal Interactions with Progressive Fusion Mamba	https://doi.org/10.1609/aaai.v39i6.32618	
