paper_row	paper	parent_row	parent	score	reference
2	CADTrack: Learning Contextual Aggregation with Deformable Alignment for Robust RGBT Tracking	25	CSTrack: Enhancing RGB-X Tracking via Compact Spatiotemporal Features	1.000	16881. J.; Han, J.; and Liu, S. 2023. Bridging Search Region Inter- Cao, B.; Guo, J.; Zhu, P.; and Hu, Q. 2024. Bi-directional action With Template for RGBT Tracking. In CVPR, 13630– Adapter for Multimodal Tracking. In AAAI, volume 38, 13639. 927–935. Lai, S.; Liu, C.; Zhu, J.; Kang, B.; Liu, Y.; Wang, D.; and Lu, Chen, Y.; and Wang, L. 2025. eMoE-Tracker: Environmen- H. 2025. MambaVT: Spatio-temporal Contextual Modeling tal MoE-Based Transformer for Robust Event-Guided Ob- for Robust RGBT Track
2	CADTrack: Learning Contextual Aggregation with Deformable Alignment for Robust RGBT Tracking	86	Prompting for multi-modal tracking	1.000	5801. IJCV, 132(7): 2698–2712. Lu, A.; Zhao, J.; Li, C.; Xiao, Y.; and Luo, B. 2024. Break- Yang, J.; Li, Z.; Zheng, F.; Leonardis, A.; and Song, J. 2022. ing Modality Gap in RGBT Tracking: Coupled Knowledge Prompting for Multi-modal Tracking. In ACM MM, 3492– Distillation. In ACM MM, 9291–9300. 3500. Shao, Z.; Hu, Y.; Fan, B.; and Liu, H. 2025. PURA: Parame- Ye, B.; Chang, H.; Ma, B.; Shan, S.; and Chen, X. 2022. ter Update-Recovery Test-Time Adaption for RGBT Track- Joint Feature Learning and 
2	CADTrack: Learning Contextual Aggregation with Deformable Alignment for Robust RGBT Tracking	52	AMNet: Learning to align multi-modality for RGB-T tracking	1.000	2024. Generative-based Fusion Mechanism for Multi-modal Zhang, T.; Guo, H.; Jiao, Q.; Zhang, Q.; and Han, J. 2023. Tracking. In AAAI, volume 38, 5189–5197. Efficient RGB-T Tracking via Cross-modality Distillation. Tang, Z.; Xu, T.; Wu, X.-J.; Zhu, X.; Cheng, C.; Feng, Z.; In CVPR, 5404–5413. and Kittler, J. 2025. Revisiting rgbt tracking benchmarks Zhang, T.; He, X.; Jiao, Q.; Zhang, Q.; and Han, J. 2024. from the perspective of modality validity: A new bench- AMNet: Learning to Align Multi-moda
2	CADTrack: Learning Contextual Aggregation with Deformable Alignment for Robust RGBT Tracking	41	Temporal adaptive rgbt tracking with modality prompt	1.000	2024. Temporal Adaptive RGBT Tracking with Modality object tracking. PR, 155: 110543. Prompt. In AAAI, volume 38, 5436–5444. Zhu, X.-F.; Xu, T.; Liu, Z.; Tang, Z.; Wu, X.-J.; and Kittler, Wu, Q.; Yang, T.; Liu, Z.; Wu, B.; Shan, Y.; and Chan, J. 2024b. UniMod1K: Towards a more universal large-scale A. B. 2023. DropMAE: Masked Autoencoders with Spatial- dataset and benchmark for multi-modal learning. IJCV, Attention Dropout for Tracking Tasks. In CVPR, 14561– 132(8): 2845–2860.
2	CADTrack: Learning Contextual Aggregation with Deformable Alignment for Robust RGBT Tracking	44	Single-Model and Any-Modality for Video Object Tracking	1.000	14571. Zhu, X.-F.; Xu, T.; Tang, Z.; Wu, Z.; Liu, H.; Yang, X.; Wu, Z.; Zheng, J.; Ren, X.; Vasluianu, F.-A.; Ma, C.; Paudel, Wu, X.-J.; and Kittler, J. 2023b. RGBD1K: A Large-scale D. P.; Gool, L. V.; and Timofte, R. 2024. Single-model and Dataset and Benchmark for RGB-D Object Tracking. In Any-modality for Video Object Tracking. In CVPR, 19156– AAAI, volume 37, 3870–3878.
2	CADTrack: Learning Contextual Aggregation with Deformable Alignment for Robust RGBT Tracking	83	Attribute-based progressive fusion network for rgbt tracking	1.000	Zhao, J. 2024. Unified Single-Stage Transformer Network Zhu, Z.; Zhong, B.; Liang, Q.; Yang, H.; Zheng, Y.; and Li, for Efficient RGB-T Tracking. In IJCAI, 1471–1479. N. 2025. Adaptive Expert Decision for RGB-T Tracking. IEEE TCSVT, 35(10): 10330–10338. Xia, Z.; Pan, X.; Song, S.; Li, L. E.; and Huang, G. 2022. Vision Transformer with Deformable Attention. In CVPR, 4794–4803. Xiao, Y.; Yang, M.; Li, C.; Liu, L.; and Tang, J. 2022. Attribute-based Progressive Fusion Network for RGBT Tracking. In 
4	Group Orthogonal Low-Rank Adaptation for RGB-T Tracking	39	Bi-directional adapter for multimodal tracking	1.000	Weighted sparse representation regularized graph learning Bradley, P.; Bennett, K.; and Demiriz, A. 2000. Constrained for RGB-T object tracking. In ACM MM, 1856–1864. K-Means Clustering. Li, D.; Ma, Y.; Wang, N.; Cheng, Z.; Duan, L.; Zuo, J.; Yang, Cao, B.; Guo, J.; Zhu, P.; and Hu, Q. 2024. Bi-directional C.; and Tang, M. 2024. MixLoRA: Enhancing Large Lan- adapter for multimodal tracking. In AAAI, volume 38, 927– guage Models Fine-Tuning with LoRA based Mixture of Ex-
4	Group Orthogonal Low-Rank Adaptation for RGB-T Tracking	20	SUTrack: Towards simple and unified single object tracking	1.000	935. perts. CoRR. Chen, X.; Kang, B.; Geng, W.; Zhu, J.; Liu, Y.; Wang, D.; Li, X. L.; and Liang, P. 2021. Prefix-Tuning: Optimizing and Lu, H. 2025. Sutrack: Towards simple and unified single Continuous Prompts for Generation. In ACL, 4582–4597. object tracking. In AAAI, volume 39, 2239–2247. Lin, L.; Fan, H.; Zhang, Z.; Wang, Y.; Xu, Y.; and Ling, H. Chen, X.; Kang, B.; Zhu, J.; Wang, D.; Peng, H.; and Lu, H.
4	Group Orthogonal Low-Rank Adaptation for RGB-T Tracking	44	Single-Model and Any-Modality for Video Object Tracking	1.000	13639. Sun, D.; Pan, Y.; Lu, A.; Li, C.; and Luo, B. 2024. Trans- Jia, M.; Tang, L.; Chen, B.-C.; Cardie, C.; Belongie, S.; Har- former RGBT Tracking With Spatio-Temporal Multimodal iharan, B.; and Lim, S.-N. 2022. Visual prompt tuning. In Tokens. TCSVT, 34(11 Part 2): 12059–12072. ECCV, 709–727. Springer. Tian, C.; Shi, Z.; Guo, Z.; Li, L.; and Xu, C.-Z. 2024. Hy- Jie, S.; Deng, Z.-H.; Chen, S.; and Jin, Z. 2024. Convolu- dralora: An asymmetric lora architecture for efficient fine- tional bypas
5	Semantic Feature Purification for Adversarially-Aware RGB-T Tracking	87	LasHeR: A large-scale high-diversity benchmark for RGBT tracking	1.000	Kingma, D. P. 2014. Adam: A method for stochastic opti- mization. arXiv preprint arXiv:1412.6980. Athalye, A.; Carlini, N.; and Wagner, D. 2018. Obfuscated gradients give a false sense of security: Circumventing de- Laykaviriyakul, P.; and Phaisangittisagul, E. 2023. Collab- fenses to adversarial examples. In Proc. of ICML. orative Defense-GAN for protecting adversarial attacks on classification system. Expert Systems with Applications. Attias, I.; Kontorovich, A.; and Mansour, Y. 2022. Im- Li, 
