citing_row	citing_paper	inferred_rating	reference
2	CADTrack: Learning Contextual Aggregation with Deformable Alignment for Robust RGBT Tracking	CCF-A	Hu, Y.; Shao, Z.; Fan, B.; and Liu, H. 2025c. Dual-Level Cai, W.; Liu, Q.; and Wang, Y. 2025. SPMTrack: Spatio- Modality De-Biasing for RGBT Tracking. IEEE TIP, 34: Temporal Parameter-Efficient Fine-Tuning with Mixture of 2667–2679. Experts for Scalable Visual Tracking. In CVPR, 16871– Hui, T.; Xun, Z.; Peng, F.; Huang, J.; Wei, X.; Wei, X.; Dai,
2	CADTrack: Learning Contextual Aggregation with Deformable Alignment for Robust RGBT Tracking	CCF-A	Paudel, D. P.; Gool, L. V.; and Timofte, R. 2025b. XTrack: Robust RGB-T Tracking. IEEE TIP, 30: 3335–3347. Multimodal Training Boosts RGB-X Video Object Trackers. Zhang, P.; Zhao, J.; Wang, D.; Lu, H.; and Ruan, X. 2022. In ICCV, 5734–5744. Visible-Thermal UAV Tracking: A Large-scale Benchmark Tang, Z.; Xu, T.; Wu, X.; Zhu, X.-F.; and Kittler, J. and New Baseline. In CVPR, 8886–8895.
2	CADTrack: Learning Contextual Aggregation with Deformable Alignment for Robust RGBT Tracking	CCF-A	19166. Zhu, Y.; Li, C.; Luo, B.; Tang, J.; and Wang, X. 2019. Dense Xia, J.; Shi, D.; Song, K.; Song, L.; Wang, X.; Jin, S.; Zhao, Feature Aggregation and Pruning for RGBT Tracking. In C.; Cheng, Y.; Jin, L.; Zhu, Z.; Li, J.; Wang, G.; Xing, J.; and ACM MM, 465–472.
4	Group Orthogonal Low-Rank Adaptation for RGB-T Tracking	CCF-A	Gelly, S. 2019. Parameter-efficient transfer learning for ing modality gap in RGBT tracking: Coupled knowledge NLP. In ICML, 2790–2799. PMLR. distillation. In ACM MM, 9291–9300.
4	Group Orthogonal Low-Rank Adaptation for RGB-T Tracking	CCF-A	Hu, E. J.; Wallis, P.; Allen-Zhu, Z.; Li, Y.; Wang, S.; Wang, Oquab, M.; Darcet, T.; Moutakanni, T.; Vo, H. V.; L.; Chen, W.; et al. 2022. LoRA: Low-Rank Adaptation of Szafraniec, M.; Khalidov, V.; Fernandez, P.; HAZIZA, D.; Large Language Models. In ICLR. Massa, F.; El-Nouby, A.; et al. 2024. DINOv2: Learning Hu, X.; Tai, Y.; Zhao, X.; Zhao, C.; Zhang, Z.; Li, J.; Zhong, Robust Visual Features without Supervision. TMLR. B.; and Yang, J. 2025a. Exploiting multimodal spatial- Rezatofighi, H.; Tsoi, N.; Gwak, J.; Sadeghian, A.; Reid, I.; temporal patterns for video object tracking. In AAAI, vol- and Savarese, S. 2019. Generalized intersection over union: ume 39, 3581–3589. A metric and a loss for bounding box regression. In CVPR, Hu, Y.; Shao, Z.; Fan, B.; and Liu, H. 2025b. Dual-Level 658–6
5	Semantic Feature Purification for Adversarially-Aware RGB-T Tracking	CCF-A	Vladu, A. 2017. Towards deep learning models resistant to 2023. Dropmae: Masked autoencoders with spatial-attention adversarial attacks. stat. dropout for tracking tasks. In Proc. of CVPR. Mai, S.; Hu, H.; and Xing, S. 2020. Modality to modality Wu, Y.; Blasch, E.; Chen, G.; Bai, L.; and Ling, H. 2011. translation: An adversarial representation learning and graph Multiple source data fusion via sparse representation for ro- fusion network for multimodal fusion. In Proc. of AAAI. bust visual tracking. In 14th International Conference on Mao, C.; Geng, S.; Yang, J.; Wang, X.; and Vondrick, C. Information Fusion.
5	Semantic Feature Purification for Adversarially-Aware RGB-T Tracking	CCF-A	2023. Understanding Zero-shot Adversarial Robustness for Wu, Z.; Yu, R.; Liu, Q.; Cheng, S.; Qiu, S.; and Zhou, S. Large-Scale Models. In Proc. of ICLR. 2025. Enhancing Tracking Robustness with Auxiliary Ad- Ronneberger, O.; Fischer, P.; and Brox, T. 2015. U-net: versarial Defense Networks. In Proc. of ECCV. Convolutional networks for biomedical image segmenta- Xiao, Y.; Yang, M.; Li, C.; Liu, L.; and Tang, J. 2022. tion. In Medical image computing and computer-assisted Attribute-based progressive fusion network for rgbt track- intervention–MICCAI 2015: 18th international conference, ing. In Proc. of AAAI. Munich, Germany, October 5-9, 2015, proceedings, part III Yan, B.; Wang, D.; Lu, H.; and Yang, X. 2020. Cooling-
6	Tracking and Segmenting Anything in Any Modality	CCF-B	Cheng, H. K.; and Schwing, A. G. 2022. Xmem: Long-term video Liu, S. 2024a. RGB-T tracking with template-bridged search inter- object segmentation with an atkinson-shiffrin memory model. In action and target-preserved template updating. IEEE TPAMI. ECCV, 640–658. Springer. Li, C.; Xue, W.; Jia, Y.; Qu, Z.; Luo, B.; Tang, J.; and Sun, D.
14	UTPTrack: Towards Simple and Unified Token Pruning for Visual Tracking	CAS-Q1	[3] Fei Chen, Xiaodong Wang, Yunxiang Zhao, Shaohe Lv, and ric adapter learning for multi-modal visual object tracking. Xin Niu. Visual object tracking: A survey. Computer Vision In Proceedings of the IEEE/CVF Conference on Computer and Image Understanding, 222:103508, 2022. 1 Vision and Pattern Recognition, pages 26551–26561, 2024.
14	UTPTrack: Towards Simple and Unified Token Pruning for Visual Tracking	CAS-Q1	[26] Liting Lin, Heng Fan, Zhipeng Zhang, Yaowei Wang, Yong [38] Zongwei Wu, Jilai Zheng, Xiangxuan Ren, Florin-Alexandru Xu, and Haibin Ling. Tracking meets lora: Faster training, Vasluianu, Chao Ma, Danda Pani Paudel, Luc Van Gool, and larger model, stronger performance. In European Confer- Radu Timofte. Single-model and any-modality for video ob- ence on Computer Vision, pages 300–318. Springer, 2024. ject tracking. In Proceedings of the IEEE/CVF conference 4 on computer vision and pattern recognition, pages 19156–
16	CAFormer: Cross-modulated Attention Transformer for RGBT Tracking	CAS-Q1	2018. 非局部神经网络. InIEEE计算机视觉与模式识别 Wang, X.; Girshick, R.; Gupta, A.; and He, K. 2018. Non- aware feature aggregation network for robust RGBT track- 于三叉戟融合网络的RGBT跟踪。《IEEE电路与系统视频 local neural networks. In Proceedings of the IEEE con- ing. IEEE Transactions on Intelligent Vehicles, 6(1): 121– 会议论文集, 7794– 7803. Wu, Z.; Zheng, J.; Ren, ference on computer vision and pattern recognition, 7794– 130. 技术汇刊》，32(2): 579–592页。 X.; Vasluianu, F.‑A.; Ma, C.; Paudel, D. P.; Van 7803. Zhu, Y.; Li, C.; Tang, J.; Luo, B.; and Wang, L. 2021. RGBT Gool, L.; and Timofte, R. 2024. 单模型与任意模态用 Wu, Z.; Zheng, J.; Ren, X.; Vasluianu, F.-A.; Ma, C.; Paudel, tracking by trident fusion network. IEEE Transactions on D. P.; Van Gool, L.; and Timofte, R. 2024. Single-Model and Circuits and Systems for Video Technology, 32(
16	CAFormer: Cross-modulated Attention Transformer for RGBT Tracking	CCF-A	2022. 基于属性的渐进融合网络用于RGBT跟踪. In tion. Xiao, Y.; Yang, M.; Li, C.; Liu, L.; and Tang, J. 2022. AAAI人工智能会议论文集. Xu, Q.; Zhao, W.; Lin, Attribute-based progressive fusion network for RGBT track- G.; and Long, C. 2023. 自校准交叉注意力网络用于少 ing. In Proceedings of the AAAI Conference on Artificial 样本分割. InIEEE/CVF国际计算机视觉会议, 655– Intelligence.
18	Exploiting multimodal spatial-temporal patterns for video object tracking	CCF-A	2021. Transformer tracking. In CVPR, 8126–8135. Hui, T.; Xun, Z.; Peng, F.; Huang, J.; Wei, X.; Wei, X.; Dai, Chen, Z.; Zhong, B.; Li, G.; Zhang, S.; and Ji, R. 2020. J.; Han, J.; and Liu, S. 2023. Bridging Search Region In- Siamese Box Adaptive Network for Visual Tracking. In teraction with Template for RGB-T Tracking. In CVPR, CVPR, 6667–6676. Computer Vision Foundation / IEEE. 13630–13639. IEEE. Chen, Z.; Zhong, B.; Li, G.; Zhang, S.; Ji, R.; Tang, Z.; and Jiang, L.; Wang, C.; Ning, X.; and Yu, Z. 2023. LTTPoint:
20	SUTrack: Towards simple and unified single object tracking	CCF-A	2023. Efficient Visual Tracking with Exemplar Transform- Multi-Modal Visual Object Tracking. In CVPR. ers. In WACV. Huang, L.; Zhao, X.; and Huang, K. 2019. GOT-10k: A Borsuk, V.; Vei, R.; Kupyn, O.; Martyniuk, T.; Krashenyi, Large High-Diversity Benchmark for Generic Object Track- I.; and Matas, J. 2022. FEAR: Fast, Efficient, Accurate and ing in the Wild. IEEE TPAMI. Robust Visual Tracker. In ECCV. Kang, B.; Chen, X.; Wang, D.; Peng, H.; and Lu, H. 2023. Cai, Y.; Liu, J.; Tang, J.; and Wu, G. 2023. Robust Object Exploring Lightweight Hierarchical Vision Transformers for Modeling for Visual Tracking. In ICCV. Efficient Visual Tracking. In ICCV. Chen, B.; Li, P.; Bai, L.; Qiao, L.; Shen, Q.; Li, B.; Gan, Kristan, M.; Leonardis, A.; Matas, J.; Felsberg, M.; W.; Wu, W.; and Ouyang, W. 2022a.
20	SUTrack: Towards simple and unified single object tracking	CCF-A	Ye, Q. 2024. Fast-iTPN: Integrally Pre-trained Transformer Transformer Vision-Language Tracking via Proxy Token Pyramid Network with Token Migration. IEEE TPAMI. Guided Cross-Modal Fusion. PRL. Wang, N.; Zhou, W.; Wang, J.; and Li, H. 2021a. Trans- Zheng, Y.; Zhong, B.; Liang, Q.; Mo, Z.; Zhang, S.; and Li, former Meets Tracker: Exploiting Temporal Context for Ro- X. 2024. ODtrack: Online Dense Temporal Token Learning bust Visual Tracking. In CVPR. for Visual Tracking. In AAAI. Wang, X.; Li, J.; Zhu, L.; Zhang, Z.; Chen, Z.; Li, X.; Wang, Zhou, L.; Zhou, Z.; Mao, K.; and He, Z. 2023. Joint Visual Y.; Tian, Y.; and Wu, F. 2024. VisEvent: Reliable Object Grounding and Tracking with Natural Language Specifica- Tracking via Collaboration of Frame and Event Flows. IEEE tion. In CVPR. TCYB. Zhu,
22	ACAttack: Adaptive Cross Attacking RGB-T Tracker via Multi-Modal Response Decoupling	CAS-Q1	[9] Xiaojun Hou, Jiazheng Xing, Yijie Qian, Yaowei Guo, Shuo [23] Saining Xie, Ross Girshick, Piotr Dollár, Zhuowen Tu, and Xin, Junhao Chen, Kai Tang, Mengmeng Wang, Zhengkai Kaiming He. Aggregated residual transformations for deep Jiang, Liang Liu, et al. Sdstrack: Self-distillation symmet- neural networks. In Proceedings of the IEEE Conference ric adapter learning for multi-modal visual object tracking. on Computer Vision and Pattern Recognition, pages 1492– In Proceedings of the IEEE Conference on Computer Vision 1500, 2017. 4 and Pattern Recognition, pages 26551–26561, 2024. 2, 5
22	ACAttack: Adaptive Cross Attacking RGB-T Tracker via Multi-Modal Response Decoupling	CAS-Q1	[28] Tianlu Zhang, Hongyuan Guo, Qiang Jiao, Qiang Zhang, and Jungong Han. Efficient rgb-t tracking via cross-modality dis- tillation. In Proceedings of the IEEE Conference on Com- puter Vision and Pattern Recognition, pages 5404–5413,
24	PURA: Parameter Update-Recovery Test-Time Adaption for RGB-T Tracking	CCF-A	[1] Yifan Bai, Zeyang Zhao, Yihong Gong, and Xing Wei. Ar- contextual modeling for robust rgb-t tracking. CoRR, 2024. trackv2: Prompting autoregressive tracker where to look and 5, 6 how to describe. In CVPR, pages 19048–19057, 2024. 2
