stage,lane,label,paper_count,incoming,outgoing,value,datasets
2004-2016,dataset,GTOT,1,0,55,55,GTOT
2004-2016,foundation,Early + Sparse / Graph / CF,14,0,70,70,
2004-2016,deep,CNN / Siamese / Fusion,2,0,4,4,
2017-2019,dataset,RGBT210,1,7,54,54,RGBT210
2017-2019,foundation,Early + Sparse / Graph / CF,8,17,72,72,
2017-2019,deep,CNN / Siamese / Fusion,11,27,124,124,
2017-2019,attention,Transformer / Prompt / Mamba,2,2,24,24,
2017-2019,robust,Robustness / UAV / Missing,3,12,31,31,
2020-2022,dataset,"CMOTB-orig., VTUAV, LasHeR",3,37,68,68,"CMOTB-orig., VTUAV, LasHeR"
2020-2022,foundation,Early + Sparse / Graph / CF,4,10,4,10,
2020-2022,deep,CNN / Siamese / Fusion,15,74,133,133,
2020-2022,attention,Transformer / Prompt / Mamba,3,31,21,31,
2020-2022,unified,Unified RGB-X / Foundation,1,3,19,19,
2020-2022,robust,Robustness / UAV / Missing,5,34,74,74,
2023-2024,dataset,"Miss-RGBT, CMOTB-exp.",2,15,7,15,"Miss-RGBT, CMOTB-exp."
2023-2024,foundation,Early + Sparse / Graph / CF,1,0,4,4,
2023-2024,deep,CNN / Siamese / Fusion,12,111,25,111,
2023-2024,attention,Transformer / Prompt / Mamba,14,46,47,47,
2023-2024,unified,Unified RGB-X / Foundation,12,98,99,99,
2023-2024,robust,Robustness / UAV / Missing,5,0,23,23,
2025-2026,dataset,"LUART, MUST, RGBDT500, UniBench300, MV-RGBT, UniRTL",6,73,0,73,"LUART, MUST, RGBDT500, UniBench300, MV-RGBT, UniRTL"
2025-2026,deep,CNN / Siamese / Fusion,3,9,0,9,
2025-2026,attention,Transformer / Prompt / Mamba,10,143,0,143,
2025-2026,unified,Unified RGB-X / Foundation,15,135,0,135,
2025-2026,robust,Robustness / UAV / Missing,6,74,0,74,
