itemID	key	type	date	venue	doi	title
3248	Y2X6EK6C	journalArticle	2026-03-14 2026-03-14	Proceedings of the AAAI Conference on Artificial Intelligence	10.1609/aaai.v40i8.37535	CADTrack: Learning contextual aggregation with deformable alignment for robust RGBT tracking
3296	NF8WCJ3E	journalArticle	2026-04-23 2026-04-23	Advances in Neural Information Processing Systems		Collaborating vision, depth, and thermal signals for multi-modal tracking: Dataset and algorithm
3301	4DGQRXD6	journalArticle	2026-03-14 2026-03-14	Proceedings of the AAAI Conference on Artificial Intelligence	10.1609/aaai.v40i11.37843	Group orthogonal low-rank adaptation for RGB-T tracking
2323	UH5Z9H6X	preprint	2026-03-17 2026-03-17		10.48550/arXiv.2405.00168	Revisiting RGBT tracking benchmarks from the perspective of modality validity: A new benchmark, problem, and solution
3306	YM5S9D3W	journalArticle	2026-03-14 2026-03-14	Proceedings of the AAAI Conference on Artificial Intelligence	10.1609/aaai.v40i12.37949	Semantic feature purification for adversarially-aware RGB-T tracking
3253	4LLAMZAL	journalArticle	2026-03-14 2026-03-14	Proceedings of the AAAI Conference on Artificial Intelligence	10.1609/aaai.v40i15.38273	Tracking and segmenting anything in any modality
2898	AWBGLPBJ	journalArticle	2026-00-00 2026	Information Fusion		TSMamba: Multi-drone feature interaction via temporal-spatial mamba networks for aerial object tracking
3311	477BET86	journalArticle	2026-03-14 2026-03-14	Proceedings of the AAAI Conference on Artificial Intelligence	10.1609/aaai.v40i13.38079	Unaligned UAV RGBT tracking: A largescale benchmark and a novel approach
3321	43ZGQB64	conferencePaper	2026-05-05 2026/05/05	ICML		Unified multimodal visual tracking with dual mixture-of-experts
3316	YXEPQG7X	conferencePaper	2026-02-27 2026/02/27	CVPR		UTPTrack: Towards simple and unified token pruning for visual tracking
1141	CKH97E26	preprint	2025-07-31 2025-07-31		10.48550/arXiv.2507.23251	A deep dive into generic object tracking: A survey
3271	KBRNTXPR	conferencePaper	2025-00-00 2025	Proceedings of the IEEE/CVF Conference on Computer Vision and Pattern Recognition		ACAttack: Adaptive cross attacking RGB-T tracker via multi-modal response decoupling
3336	YIRDJSNX	journalArticle	2025-10-00 2025-10	IEEE Transactions on Artificial Intelligence	10.1109/TAI.2025.3558482	Adaptive perception for unified visual multimodal object tracking
3258	AT8JWVQK	journalArticle	2025-04-11 2025-04-11	Proceedings of the AAAI Conference on Artificial Intelligence	10.1609/aaai.v39i8.32931	Cross-modal stealth: A coarse-to-fine attack framework for RGB-T tracker
